entity_id,company_name,normalized_company_name,domain,source_industry,country,employee_count_source,contact_name,contact_title,email,source,last_seen,source_record_count,source_row_numbers
vantafoodsholdings-com,"Vanta,Foods Holdings Incorporated",vanta foods incorporated,vantafoodsholdings.com,Insurance,India,,,,,,,1,404
mosaicpayments-com,"MOSAIC,PAYMENTS LTD.",mosaic payments,mosaicpayments.com,Healthcare,CA,55,,,info@mosaic.com,,,2,"406,421"
umbraopticsinterna-com,umbra optics international inc,umbra optics international,umbraopticsinterna.com,,Canada,30,,,info@umbra.com,,,2,"407,428"
pinecrestmediahold-com,Pinecrest Media Holdings Co.,pinecrest media,pinecrestmediahold.com,Software,United States,18,,,info@pinecrest.com,,,1,408
xenonlabsholdings-com,XENON LABS HOLDINGS INCORPORATED,xenon labs incorporated,xenonlabsholdings.com,Pharmaceuticals,,42,,,info@xenon.com,,,1,416
birchfurniturepart-com,Birch Furniture Partners Corp,birch furniture partners,birchfurniturepart.com,Finance,Australia,125,,,info@birch.com,,,2,"418,450"
driftapparelglobal-com,Drift Apparel Global Incorporated,drift apparel global incorporated,driftapparelglobal.com,,United Kingdom,750,,,,,,1,423
xenonlabsgroup-com,Xenon Labs Group,xenon labs,xenonlabsgroup.com,,CA,,,,info@xenon.com,,,1,432
onyxminingholdings-com,Onyx Mining Holdings Inc.,onyx mining,onyxminingholdings.com,Pharmaceuticals,United States,1000,,,info@onyx.com,,,1,435
yarrowtextilesglob-com,Yarrow Textiles Global,yarrow textiles global,yarrowtextilesglob.com,Construction,Australia,,,,info@yarrow.com,,,1,441
ironwoodagritechgl-com,ironwood agritech global co.,ironwood agritech global,ironwoodagritechgl.com,Media,CA,130,,,info@ironwood.com,,,1,449
kestrelsecurityhol-com,Kestrel Security Holdings LLC,kestrel security,kestrelsecurityhol.com,Insurance,Germany,540,,,,,,1,451
mosaicpaymentsinte-com,MOSAIC PAYMENTS INTERNATIONAL CO.,mosaic payments international,mosaicpaymentsinte.com,Construction,India,1200,,,info@mosaic.com,,,2,"452,470"
ironwoodagritechpa-com,Ironwood Agritech Partners Co,ironwood agritech partners,ironwoodagritechpa.com,Pharmaceuticals,United States,30,,,info@ironwood.com,,,1,454
ghostdomain-com,,,ghostdomain.com,Software,United States,50,,,info@ghost.com,,,1,464
quartzlegalpartner-com,Quartz Legal Partners Incorporated,quartz legal partners incorporated,quartzlegalpartner.com,Retail,United States,40,,,,,,1,471
pinecrestmediaglob-com,PINECREST MEDIA GLOBAL INC,pinecrest media global,pinecrestmediaglob.com,Healthcare,United States,95,,,info@pinecrest.com,,,1,472
sterlingroboticsho-com,Sterling Robotics Holdings Co.,sterling robotics,sterlingroboticsho.com,,Germany,350,,,info@sterling.com,,,1,473
meridiantravelgrou-com,"Meridian,Travel Group",meridian travel,meridiantravelgrou.com,Logistics,India,18,,,info@meridian.com,,,1,477
saffronspicesinter-com,"Saffron,Spices International Incorporated",saffron spices international incorporated,saffronspicesinter.com,Finance,Germany,520,,,info@saffron.com,,,1,480
strayholdings-com,Stray Holdings LLC,stray,strayholdings.com,Finance,United States,,,,,,,1,485
foxglove-energy-incorporated,FOXGLOVE ENERGY INCORPORATED,foxglove energy incorporated,,Software,United Kingdom,18,,,info@foxglove.com,,,1,19
meridian-travel-partners,Meridian Travel Partners Ltd.,meridian travel partners,,,India,87,,,info@meridian.com,,,1,45
quill-software-global-incorporated,Quill Software Global Incorporated,quill software global incorporated,,Energy,Germany,260,,,,,,1,62
orbit-manufacturing,Orbit Manufacturing Ltd,orbit manufacturing,,Hospitality,United Kingdom,1000,,,info@orbit.com,,,1,66
yarrow-textiles-international,Yarrow Textiles International LLC,yarrow textiles international,,,,260,,,info@yarrow.com,,,1,69
orbit-manufacturing-incorporated,orbit manufacturing holdings incorporated,orbit manufacturing incorporated,,,,350,,,info@orbit.com,,,1,80
saffron-spices-international,Saffron Spices International Ltd,saffron spices international,,Finance,Canada,350,,,info@saffron.com,,,1,126
verdant-landscaping-global,"Verdant,Landscaping Global",verdant landscaping global,,Telecom,Australia,18,,,info@verdant.com,,,1,132
rivet-hardware-global,Rivet Hardware Global Inc.,rivet hardware global,,,Germany,540,,,info@rivet.com,,,1,142
nimbus-cloud-international,nimbus cloud international inc,nimbus cloud international,,Media,India,1200,,,info@nimbus.com,,,2,"205,440"
nimbus-cloud-global-incorporated,Nimbus Cloud Global Incorporated,nimbus cloud global incorporated,,Healthcare,DE,130,,,,,,1,290
drift-apparel-international-incorporated,Drift Apparel International Incorporated,drift apparel international incorporated,,Energy,United Kingdom,65,,,info@drift.com,,,1,294
willow-childcare-global,Willow Childcare Global,willow childcare global,,Gaming,Australia,87,,,info@willow.com,,,1,326
sterling-robotics-global,sterling robotics global corp,sterling robotics global,,Media,United States,42,,,info@sterling.com,,,1,340
northwind-logistics,Northwind Logistics Group LLC,northwind logistics,,,United States,130,,,info@northwind.com,,,1,343
larkspur-toys-international-incorporated,Larkspur Toys International Incorporated,larkspur toys international incorporated,,Insurance,United Kingdom,125,,,info@larkspur.com,,,1,461
umbra-optics-incorporated,Umbra Optics Incorporated,umbra optics incorporated,,Manufacturing,Canada,42,,,info@umbra.com,,,1,475
