row_number,company_name,normalized_company_name,domain,source_industry,country,employee_count_source,contact_name,contact_title,email,source,last_seen
255,"QUILL,SOFTWARE CORP",quill software,quillsoftware.com,Telecom,India,30,,,info@quill.com,,
256,Juniper Mobility Group Incorporated,juniper mobility incorporated,junipermobilitygro.com,Finance,U.S.A.,,,,info@juniper.com,,
257,Granite Insurance Group Co,granite insurance,,,DE,245,,,info@granite.com,,
258,ACORN EDUCATION GROUP INC.,acorn education,acorneducationgrou.com,Insurance,,520,,,info@acorn.com,,
259,Quill Software International Co,quill software international,quillsoftwareinter.com,Software,U.S.A.,545,,,info@quill.com,,
260,Larkspur Toys Partners LLC,larkspur toys partners,larkspurtoyspartne.com,Retail,CA,125,,,info@larkspur.com,,
261,WILLOW CHILDCARE INCORPORATED,willow childcare incorporated,,Pharmaceuticals,,,,,info@willow.com,,
262,Willow Childcare,willow childcare,willowchildcare.com,,U.S.A.,300,,,info@willow.com,,
263,saffron spices inc.,saffron spices,saffronspices.com,Retail,,1200,,,info@saffron.com,,
264,Verdant Landscaping LLC,verdant landscaping,verdantlandscaping.com,Education,India,30,,,,,
265,Saffron Spices Global,saffron spices global,saffronspicesgloba.com,Telecom,United Kingdom,125,,,info@saffron.com,,
266,anchor marine incorporated,anchor marine incorporated,anchormarine.com,Hospitality,Canada,,,,,,
267,Onyx Mining Group Corp,onyx mining,onyxmininggroup.com,Finance,CA,540,,,info@onyx.com,,
268,"harbor,health global ltd.",harbor health global,harborhealthglobal.com,Gaming,Canada,220,,,info@harbor.com,,
269,Pinecrest Media Group Inc.,pinecrest media,pinecrestmediagrou.com,Logistics,Germany,42,,,info@pinecrest.com,,
270,Birch Furniture Inc,birch furniture,birchfurniture.com,,India,260,,,info@birch.com,,
271,acorn education incorporated,acorn education incorporated,,Logistics,,42,,,info@acorn.com,,
272,Vanta Foods Global,vanta foods global,vantafoodsglobal.com,Energy,India,200,,,,,
273,Saffron Spices Corp,saffron spices,saffronspices.com,Retail,DE,125,,,info@saffron.com,,
274,"Vanta,Foods International Inc.",vanta foods international,vantafoodsinternat.com,Energy,United States,750,,,info@vanta.com,,
275,Acorn Education International Co.,acorn education international,acorneducationinte.com,Logistics,Germany,750,,,info@acorn.com,,
276,"Harbor,Health Group Incorporated",harbor health incorporated,harborhealthgroup.com,Media,,,,,info@harbor.com,,
277,Ember Hospitality Holdings Co.,ember hospitality,emberhospitalityho.com,Software,India,540,,,,,
278,ZEPHYR DRONES PARTNERS INC,zephyr drones partners,zephyrdronespartne.com,Gaming,United States,55,,,info@zephyr.com,,
279,willow childcare partners co.,willow childcare partners,willowchildcarepar.com,Education,India,87,,,info@willow.com,,
280,orbit manufacturing group ltd,orbit manufacturing,orbitmanufacturing.com,Gaming,United States,750,,,,,
281,Brightpath Analytics International Inc,brightpath analytics international,brightpathanalytic.com,,Canada,18,,,info@brightpath.com,,
282,Cobalt Telecom Inc.,cobalt telecom,cobalttelecom.com,Hospitality,,300,,,info@cobalt.com,,
283,Quartz Legal Global Incorporated,quartz legal global incorporated,quartzlegalglobal.com,Healthcare,Canada,545,,,info@quartz.com,,
284,Cedar Systems Co,cedar systems,cedarsystems.com,Education,United States,245,,,info@cedar.com,,
285,Lumen Retail Partners Ltd,lumen retail partners,lumenretailpartner.com,Healthcare,United Kingdom,,,,info@lumen.com,,
286,"Ember,Hospitality LLC",ember hospitality,emberhospitality.com,Gaming,,42,,,info@ember.com,,
287,ZEPHYR DRONES HOLDINGS LTD.,zephyr drones,zephyrdronesholdin.com,Manufacturing,Canada,540,,,info@zephyr.com,,
288,quill software partners ltd,quill software partners,quillsoftwarepartn.com,Insurance,United States,87,,,info@quill.com,,
289,Brightpath Analytics International,brightpath analytics international,brightpathanalytic.com,Finance,,260,,,info@brightpath.com,,
290,Nimbus Cloud Global Incorporated,nimbus cloud global incorporated,,Healthcare,DE,130,,,,,
291,Cobalt Telecom LLC,cobalt telecom,cobalttelecom.com,,United States,1200,,,info@cobalt.com,,
292,"Quill,Software Holdings Corp",quill software,quillsoftwareholdi.com,Education,India,270,,,info@quill.com,,
293,Meridian Travel International Inc.,meridian travel international,meridiantravelinte.com,Energy,,87,,,info@meridian.com,,
294,Drift Apparel International Incorporated,drift apparel international incorporated,,Energy,United Kingdom,65,,,info@drift.com,,
295,"Halcyon,Pharma Ltd.",halcyon pharma,halcyonpharma.com,,United States,,,,info@halcyon.com,,
296,Nimbus Cloud Global Co,nimbus cloud global,nimbuscloudglobal.com,Healthcare,CA,1000,,,,,
297,Thicket Gaming LLC,thicket gaming,thicketgaming.com,Insurance,United States,270,,,,,
298,Granite Insurance International Corp,granite insurance international,graniteinsurancein.com,Media,United States,350,,,info@granite.com,,
299,"Ember,Hospitality Inc.",ember hospitality,emberhospitality.com,Manufacturing,CA,,,,info@ember.com,,
300,Acorn Education Co,acorn education,acorneducation.com,Construction,,1200,,,info@acorn.com,,
301,Mosaic Payments Holdings Ltd,mosaic payments,mosaicpaymentshold.com,,Australia,350,,,,,
302,Thicket Gaming Partners Inc.,thicket gaming partners,thicketgamingpartn.com,Retail,,1200,,,info@thicket.com,,
303,orbit manufacturing ltd.,orbit manufacturing,orbitmanufacturing.com,,India,110,,,info@orbit.com,,
304,Tideline Finance LLC,tideline finance,tidelinefinance.com,,India,540,,,info@tideline.com,,
305,birch furniture group inc.,birch furniture,birchfurnituregrou.com,Healthcare,Australia,42,,,info@birch.com,,
306,VERDANT LANDSCAPING GLOBAL,verdant landscaping global,verdantlandscaping.com,Telecom,United States,130,,,info@verdant.com,,
307,Juniper Mobility Group Ltd,juniper mobility,junipermobilitygro.com,Manufacturing,United States,42,,,,,
308,petal cosmetics partners co,petal cosmetics partners,,Software,United Kingdom,5,,,info@petal.com,,
309,"Nimbus,Cloud Holdings Inc",nimbus cloud,,,United States,42,,,info@nimbus.com,,
310,HALCYON PHARMA GLOBAL LLC,halcyon pharma global,halcyonpharmagloba.com,Hospitality,United States,87,,,info@halcyon.com,,
311,"Petal,Cosmetics Partners LLC",petal cosmetics partners,petalcosmeticspart.com,,United Kingdom,260,,,info@petal.com,,
312,Cobalt Telecom Global LLC,cobalt telecom global,cobalttelecomgloba.com,Finance,United Kingdom,42,,,info@cobalt.com,,
313,Anchor Marine Global,anchor marine global,anchormarineglobal.com,Media,,300,,,info@anchor.com,,
314,"Ironwood,Agritech Co",ironwood agritech,ironwoodagritech.com,,India,1000,,,info@ironwood.com,,
315,UMBRA OPTICS CO,umbra optics,,Software,Germany,,,,info@umbra.com,,
316,"Pinecrest,Media International Ltd.",pinecrest media international,pinecrestmediainte.com,Telecom,United States,350,,,info@pinecrest.com,,
317,Verdant Landscaping Partners LLC,verdant landscaping partners,verdantlandscaping.com,Gaming,India,1200,,,info@verdant.com,,
318,"Foxglove,Energy Global Ltd.",foxglove energy global,foxgloveenergyglob.com,,United States,87,,,info@foxglove.com,,
319,BIRCH FURNITURE CO.,birch furniture,birchfurniture.com,Media,,5,,,info@birch.com,,
320,"Larkspur,Toys Global Ltd",larkspur toys global,larkspurtoysglobal.com,Insurance,United States,260,,,info@larkspur.com,,
321,Thicket Gaming Holdings Corp,thicket gaming,thicketgamingholdi.com,Gaming,U.S.A.,260,,,info@thicket.com,,
322,YARROW TEXTILES CO,yarrow textiles,yarrowtextiles.com,,United Kingdom,300,,,info@yarrow.com,,
323,Orbit Manufacturing Global Co.,orbit manufacturing global,orbitmanufacturing.com,Education,,,,,,,
324,Ember Hospitality Global Incorporated,ember hospitality global incorporated,emberhospitalitygl.com,Finance,United States,145,,,info@ember.com,,
325,Basalt Construction Holdings,basalt construction,basaltconstruction.com,Finance,U.S.A.,125,,,info@basalt.com,,
326,Willow Childcare Global,willow childcare global,,Gaming,Australia,87,,,info@willow.com,,
327,Basalt Construction Ltd,basalt construction,basaltconstruction.com,Energy,United States,270,,,info@basalt.com,,
328,Harbor Health Holdings Co.,harbor health,harborhealthholdin.com,Education,DE,42,,,info@harbor.com,,
329,Ironwood Agritech Ltd,ironwood agritech,ironwoodagritech.com,Insurance,India,,,,info@ironwood.com,,
330,LUMEN RETAIL INTERNATIONAL INC,lumen retail international,lumenretailinterna.com,Software,India,1200,,,info@lumen.com,,
331,Rivet Hardware Ltd.,rivet hardware,rivethardware.com,Education,Germany,300,,,info@rivet.com,,
332,Ironwood Agritech Inc,ironwood agritech,,Logistics,United Kingdom,130,,,info@ironwood.com,,
333,Anchor Marine Holdings,anchor marine,anchormarineholdin.com,Energy,India,1200,,,info@anchor.com,,
334,Ember Hospitality International LLC,ember hospitality international,emberhospitalityin.com,Logistics,United States,750,,,info@ember.com,,
335,Tideline Finance Holdings Inc.,tideline finance,tidelinefinancehol.com,Finance,U.S.A.,87,,,,,
336,Umbra Optics Global Co.,umbra optics global,umbraopticsglobal.com,Hospitality,DE,540,,,info@umbra.com,,
337,"Xenon,Labs International Ltd.",xenon labs international,xenonlabsinternati.com,Education,United States,,,,,,
338,Yarrow Textiles,yarrow textiles,,Manufacturing,,,,,info@yarrow.com,,
339,Juniper Mobility Co.,juniper mobility,junipermobility.com,Telecom,Germany,42,,,info@juniper.com,,
340,sterling robotics global corp,sterling robotics global,,Media,United States,42,,,info@sterling.com,,
341,Lumen Retail Holdings Co,lumen retail,lumenretailholding.com,Hospitality,India,150,,,,,
342,Basalt Construction Global Co,basalt construction global,basaltconstruction.com,Manufacturing,United Kingdom,65,,,info@basalt.com,,
343,Northwind Logistics Group LLC,northwind logistics,,,United States,130,,,info@northwind.com,,
344,Granite Insurance Group Incorporated,granite insurance incorporated,graniteinsurancegr.com,,Germany,245,,,info@granite.com,,
345,foxglove energy ltd,foxglove energy,foxgloveenergy.com,Construction,United States,120,,,,,
346,VERDANT LANDSCAPING INTERNATIONAL INCORPORATED,verdant landscaping international incorporated,verdantlandscaping.com,Pharmaceuticals,United States,87,,,,,
347,"Ironwood,Agritech International LLC",ironwood agritech international,ironwoodagritechin.com,Gaming,United Kingdom,540,,,info@ironwood.com,,
348,Zephyr Drones Inc,zephyr drones,zephyrdrones.com,Finance,,1000,,,info@zephyr.com,,
349,Xenon Labs International Co,xenon labs international,xenonlabsinternati.com,Education,India,1000,,,info@xenon.com,,
350,brightpath analytics partners corp,brightpath analytics partners,brightpathanalytic.com,Insurance,United States,,,,info@brightpath.com,,
351,"northwind,logistics group corp",northwind logistics,northwindlogistics.com,,United Kingdom,1000,,,info@northwind.com,,
352,Brightpath Analytics Group Ltd,brightpath analytics,brightpathanalytic.com,Insurance,United States,130,,,info@brightpath.com,,
353,Thicket Gaming Ltd.,thicket gaming,thicketgaming.com,Manufacturing,DE,200,,,info@thicket.com,,
354,Orbit Manufacturing Group Co.,orbit manufacturing,orbitmanufacturing.com,Logistics,DE,270,,,info@orbit.com,,
355,Sterling Robotics Group Corp,sterling robotics,sterlingroboticsgr.com,,Australia,270,,,info@sterling.com,,
356,WILLOW CHILDCARE HOLDINGS,willow childcare,,Retail,Germany,750,,,info@willow.com,,
357,"Cobalt,Telecom Group Inc.",cobalt telecom,cobalttelecomgroup.com,Hospitality,,540,,,info@cobalt.com,,
358,Onyx Mining Partners Co.,onyx mining partners,onyxminingpartners.com,Pharmaceuticals,United States,130,,,,,
359,Saffron Spices Group Inc.,saffron spices,saffronspicesgroup.com,,Germany,,,,info@saffron.com,,
360,Umbra Optics Holdings Corp,umbra optics,umbraopticsholding.com,Healthcare,United States,130,,,info@umbra.com,,
361,DRIFT APPAREL HOLDINGS LTD,drift apparel,driftapparelholdin.com,Insurance,United Kingdom,260,,,info@drift.com,,
362,Kestrel Security Group LLC,kestrel security,kestrelsecuritygro.com,Hospitality,,5,,,info@kestrel.com,,
363,"Rivet,Hardware International Co.",rivet hardware international,rivethardwareinter.com,Manufacturing,United States,55,,,,,
364,"Thicket,Gaming Global Inc",thicket gaming global,thicketgaminggloba.com,Gaming,,65,,,info@thicket.com,,
365,Mosaic Payments Partners,mosaic payments partners,mosaicpaymentspart.com,Manufacturing,Canada,260,,,info@mosaic.com,,
366,"Foxglove,Energy Holdings Corp",foxglove energy,foxgloveenergyhold.com,,CA,18,,,info@foxglove.com,,
367,"Quartz,Legal Co",quartz legal,quartzlegal.com,Telecom,Germany,300,,,info@quartz.com,,
368,Willow Childcare Holdings LLC,willow childcare,willowchildcarehol.com,Retail,,,,,info@willow.com,,
369,ZEPHYR DRONES GROUP INCORPORATED,zephyr drones incorporated,zephyrdronesgroup.com,,,,,,info@zephyr.com,,
370,Cedar Systems Partners Corp,cedar systems partners,cedarsystemspartne.com,,Germany,260,,,,,
371,"thicket,gaming llc",thicket gaming,thicketgaming.com,,India,540,,,,,
372,Anchor Marine Co.,anchor marine,anchormarine.com,Gaming,Canada,5,,,info@anchor.com,,
373,"Meridian,Travel Co.",meridian travel,meridiantravel.com,Manufacturing,United Kingdom,,,,,,
374,Anchor Marine Group Inc.,anchor marine,anchormarinegroup.com,Insurance,Germany,260,,,info@anchor.com,,
375,"Brightpath,Analytics",brightpath analytics,brightpathanalytic.com,Hospitality,,300,,,info@brightpath.com,,
376,Tideline Finance Global Inc.,tideline finance global,tidelinefinanceglo.com,,,87,,,,,
377,ACORN EDUCATION PARTNERS CORP,acorn education partners,acorneducationpart.com,Education,United States,87,,,info@acorn.com,,
378,onyx mining inc,onyx mining,onyxmining.com,Education,CA,,,,info@onyx.com,,
379,Ironwood Agritech International Ltd,ironwood agritech international,ironwoodagritechin.com,Gaming,India,130,,,info@ironwood.com,,
380,Cedar Systems Global Ltd.,cedar systems global,cedarsystemsglobal.com,Media,India,87,,,info@cedar.com,,
381,"Verdant,Landscaping Partners Ltd.",verdant landscaping partners,verdantlandscaping.com,Gaming,United Kingdom,125,,,info@verdant.com,,
382,Pinecrest Media Partners,pinecrest media partners,pinecrestmediapart.com,Healthcare,India,18,,,info@pinecrest.com,,
383,"Zephyr,Drones Co.",zephyr drones,zephyrdrones.com,,Australia,,,,,,
384,Granite Insurance Global,granite insurance global,graniteinsurancegl.com,,United States,540,,,info@granite.com,,
385,"Thicket,Gaming Group Inc.",thicket gaming,thicketgaminggroup.com,Gaming,India,260,,,,,
386,IRONWOOD AGRITECH GROUP LLC,ironwood agritech,,,DE,55,,,info@ironwood.com,,
387,Willow Childcare Group Ltd,willow childcare,willowchildcaregro.com,Logistics,,,,,,,
388,rivet hardware corp,rivet hardware,rivethardware.com,Telecom,DE,200,,,info@rivet.com,,
389,BIRCH FURNITURE GLOBAL CORP,birch furniture global,birchfurnitureglob.com,Hospitality,,1200,,,info@birch.com,,
390,Halcyon Pharma Holdings Incorporated,halcyon pharma incorporated,halcyonpharmaholdi.com,Pharmaceuticals,India,87,,,,,
391,Yarrow Textiles Corp,yarrow textiles,yarrowtextiles.com,Construction,Australia,87,,,,,
392,Cobalt Telecom Global Inc,cobalt telecom global,cobalttelecomgloba.com,,India,30,,,info@cobalt.com,,
393,"LUMEN,RETAIL GLOBAL",lumen retail global,lumenretailglobal.com,Construction,,95,,,info@lumen.com,,
394,KESTREL SECURITY CORP,kestrel security,kestrelsecurity.com,Healthcare,United States,65,,,info@kestrel.com,,
395,Lumen Retail Group Incorporated,lumen retail incorporated,lumenretailgroup.com,Healthcare,India,55,,,info@lumen.com,,
396,Cobalt Telecom Group Ltd,cobalt telecom,cobalttelecomgroup.com,Gaming,DE,5,,,,,
397,Tideline Finance,tideline finance,,,United States,5,,,,,
398,COBALT TELECOM GLOBAL INC,cobalt telecom global,cobalttelecomgloba.com,,India,,,,info@cobalt.com,,
399,Drift Apparel International Ltd.,drift apparel international,driftapparelintern.com,Energy,,1200,,,info@drift.com,,
400,petal cosmetics ltd,petal cosmetics,petalcosmetics.com,,Australia,540,,,info@petal.com,,
401,Verdant Landscaping Group LLC,verdant landscaping,verdantlandscaping.com,Manufacturing,Australia,,,,info@verdant.com,,
402,"vanta,foods incorporated",vanta foods incorporated,vantafoods.com,Gaming,United States,,,,,,
403,"Mosaic,Payments Group Incorporated",mosaic payments incorporated,mosaicpaymentsgrou.com,Healthcare,United States,220,,,info@mosaic.com,,
404,"Vanta,Foods Holdings Incorporated",vanta foods incorporated,vantafoodsholdings.com,Insurance,India,,,,,,
405,orbit manufacturing ltd.,orbit manufacturing,orbitmanufacturing.com,Hospitality,India,260,,,info@orbit.com,,
406,"MOSAIC,PAYMENTS LTD.",mosaic payments,mosaicpayments.com,,CA,,,,,,
407,umbra optics international inc,umbra optics international,umbraopticsinterna.com,,Canada,,,,info@umbra.com,,
408,Pinecrest Media Holdings Co.,pinecrest media,pinecrestmediahold.com,Software,United States,18,,,info@pinecrest.com,,
409,Basalt Construction Inc,basalt construction,basaltconstruction.com,,DE,120,,,info@basalt.com,,
410,LARKSPUR TOYS CORP,larkspur toys,larkspurtoys.com,Insurance,U.S.A.,65,,,info@larkspur.com,,
411,HALCYON PHARMA GLOBAL INC.,halcyon pharma global,halcyonpharmagloba.com,Hospitality,India,300,,,info@halcyon.com,,
412,Basalt Construction Holdings Inc,basalt construction,basaltconstruction.com,Hospitality,Germany,260,,,info@basalt.com,,
413,"Juniper,Mobility Holdings Ltd",juniper mobility,,Hospitality,,200,,,info@juniper.com,,
414,"Kestrel,Security International",kestrel security international,kestrelsecurityint.com,,India,42,,,info@kestrel.com,,
415,BASALT CONSTRUCTION PARTNERS,basalt construction partners,basaltconstruction.com,Finance,,30,,,info@basalt.com,,
416,XENON LABS HOLDINGS INCORPORATED,xenon labs incorporated,xenonlabsholdings.com,Pharmaceuticals,,42,,,info@xenon.com,,
417,Quartz Legal Global,quartz legal global,quartzlegalglobal.com,Healthcare,Germany,,,,info@quartz.com,,
418,Birch Furniture Partners Corp,birch furniture partners,birchfurniturepart.com,Finance,Australia,125,,,info@birch.com,,
419,"Basalt,Construction International LLC",basalt construction international,,,CA,30,,,info@basalt.com,,
420,Kestrel Security Ltd,kestrel security,kestrelsecurity.com,Logistics,DE,,,,info@kestrel.com,,
421,mosaic payments ltd.,mosaic payments,mosaicpayments.com,Healthcare,India,55,,,info@mosaic.com,,
422,"Rivet,Hardware International Ltd",rivet hardware international,rivethardwareinter.com,Manufacturing,,,,,,,
423,Drift Apparel Global Incorporated,drift apparel global incorporated,driftapparelglobal.com,,United Kingdom,750,,,,,
424,"DRIFT,APPAREL LTD",drift apparel,driftapparel.com,Education,,130,,,info@drift.com,,
425,verdant landscaping incorporated,verdant landscaping incorporated,verdantlandscaping.com,Hospitality,U.S.A.,540,,,,,
426,Meridian Travel Inc.,meridian travel,meridiantravel.com,Retail,Australia,1200,,,info@meridian.com,,
427,Thicket Gaming International Incorporated,thicket gaming international incorporated,thicketgaminginter.com,Gaming,U.S.A.,42,,,info@thicket.com,,
428,Umbra Optics International Incorporated,umbra optics international incorporated,umbraopticsinterna.com,,United Kingdom,30,,,info@umbra.com,,
429,Granite Insurance Ltd.,granite insurance,graniteinsurance.com,Software,,260,,,,,
430,onyx mining llc,onyx mining,onyxmining.com,Education,Australia,750,,,info@onyx.com,,
431,Sterling Robotics Corp,sterling robotics,sterlingrobotics.com,Gaming,United Kingdom,1200,,,info@sterling.com,,
432,Xenon Labs Group,xenon labs,xenonlabsgroup.com,,CA,,,,info@xenon.com,,
433,Birch Furniture,birch furniture,birchfurniture.com,Media,United States,220,,,info@birch.com,,
434,"Cedar,Systems Inc.",cedar systems,cedarsystems.com,Finance,CA,,,,info@cedar.com,,
435,Onyx Mining Holdings Inc.,onyx mining,onyxminingholdings.com,Pharmaceuticals,United States,1000,,,info@onyx.com,,
436,Brightpath Analytics Inc,brightpath analytics,brightpathanalytic.com,Manufacturing,U.S.A.,5,,,info@brightpath.com,,
437,lumen retail partners corp,lumen retail partners,lumenretailpartner.com,Healthcare,United States,750,,,,,
438,Onyx Mining Global LLC,onyx mining global,onyxminingglobal.com,Manufacturing,Germany,750,,,info@onyx.com,,
439,yarrow textiles partners co.,yarrow textiles partners,yarrowtextilespart.com,Telecom,Australia,55,,,info@yarrow.com,,
440,"Nimbus,Cloud International",nimbus cloud international,,,,260,,,info@nimbus.com,,
441,Yarrow Textiles Global,yarrow textiles global,yarrowtextilesglob.com,Construction,Australia,,,,info@yarrow.com,,
442,"Juniper,Mobility Global LLC",juniper mobility global,,Media,U.S.A.,,,,info@juniper.com,,
443,Larkspur Toys Ltd.,larkspur toys,larkspurtoys.com,Construction,DE,600,,,info@larkspur.com,,
444,YARROW TEXTILES HOLDINGS,yarrow textiles,,Software,DE,42,,,info@yarrow.com,,
445,Northwind Logistics Co,northwind logistics,northwindlogistics.com,,U.S.A.,540,,,info@northwind.com,,
446,Ironwood Agritech Inc.,ironwood agritech,ironwoodagritech.com,Construction,United States,145,,,,,
447,Sterling Robotics Co.,sterling robotics,sterlingrobotics.com,,United Kingdom,260,,,info@sterling.com,,
448,"Acorn,Education Group Inc",acorn education,acorneducationgrou.com,Education,,1000,,,info@acorn.com,,
449,ironwood agritech global co.,ironwood agritech global,ironwoodagritechgl.com,Media,CA,130,,,info@ironwood.com,,
450,birch furniture partners llc,birch furniture partners,birchfurniturepart.com,Finance,Australia,,,,,,
451,Kestrel Security Holdings LLC,kestrel security,kestrelsecurityhol.com,Insurance,Germany,540,,,,,
452,MOSAIC PAYMENTS INTERNATIONAL CO.,mosaic payments international,mosaicpaymentsinte.com,Construction,India,1200,,,info@mosaic.com,,
453,Granite Insurance Group Co,granite insurance,graniteinsurancegr.com,,,300,,,,,
454,Ironwood Agritech Partners Co,ironwood agritech partners,ironwoodagritechpa.com,Pharmaceuticals,United States,30,,,info@ironwood.com,,
455,Northwind Logistics Global Ltd,northwind logistics global,northwindlogistics.com,Gaming,United Kingdom,130,,,,,
456,Willow Childcare Holdings LLC,willow childcare,,,CA,450,,,info@willow.com,,
457,Northwind Logistics International Corp,northwind logistics international,northwindlogistics.com,Manufacturing,India,42,,,,,
458,drift apparel international ltd,drift apparel international,,Energy,,,,,info@drift.com,,
459,Brightpath Analytics Group Inc,brightpath analytics,brightpathanalytic.com,Energy,India,540,,,info@brightpath.com,,
460,"Tideline,Finance Group",tideline finance,,Healthcare,CA,5,,,info@tideline.com,,
461,Larkspur Toys International Incorporated,larkspur toys international incorporated,,Insurance,United Kingdom,125,,,info@larkspur.com,,
462,Pinecrest Media Inc,pinecrest media,,Logistics,Germany,245,,,info@pinecrest.com,,
463,BRIGHTPATH ANALYTICS HOLDINGS INC.,brightpath analytics,brightpathanalytic.com,Education,United States,5,,,info@brightpath.com,,
464,,,ghostdomain.com,Software,United States,50,,,info@ghost.com,,
465,Northwind Logistics,northwind logistics,northwindlogistics.com,Hospitality,United Kingdom,70,,,info@northwind.com,,
466,Juniper Mobility Ltd,juniper mobility,,Software,Canada,30,,,info@juniper.com,,
467,JUNIPER MOBILITY GLOBAL INC.,juniper mobility global,junipermobilityglo.com,,United Kingdom,95,,,,,
468,Cedar Systems Partners Co.,cedar systems partners,cedarsystemspartne.com,Finance,India,5,,,info@cedar.com,,
469,Tideline Finance Ltd,tideline finance,tidelinefinance.com,Media,United States,130,,,info@tideline.com,,
470,Mosaic Payments International Ltd,mosaic payments international,mosaicpaymentsinte.com,Construction,,87,,,info@mosaic.com,,
471,Quartz Legal Partners Incorporated,quartz legal partners incorporated,quartzlegalpartner.com,Retail,United States,40,,,,,
472,PINECREST MEDIA GLOBAL INC,pinecrest media global,pinecrestmediaglob.com,Healthcare,United States,95,,,info@pinecrest.com,,
473,Sterling Robotics Holdings Co.,sterling robotics,sterlingroboticsho.com,,Germany,350,,,info@sterling.com,,
474,"Acorn,Education Holdings Inc",acorn education,,,,130,,,info@acorn.com,,
475,Umbra Optics Incorporated,umbra optics incorporated,,Manufacturing,Canada,42,,,info@umbra.com,,
476,"Pinecrest,Media Ltd.",pinecrest media,,Hospitality,Canada,42,,,info@pinecrest.com,,
477,"Meridian,Travel Group",meridian travel,meridiantravelgrou.com,Logistics,India,18,,,info@meridian.com,,
478,"Northwind,Logistics",northwind logistics,northwindlogistics.com,Insurance,DE,55,,,info@northwind.com,,
479,Juniper Mobility Co,juniper mobility,,Construction,,1200,,,info@juniper.com,,
480,"Saffron,Spices International Incorporated",saffron spices international incorporated,saffronspicesinter.com,Finance,Germany,520,,,info@saffron.com,,
481,STERLING ROBOTICS CO,sterling robotics,sterlingrobotics.com,Logistics,United States,1200,,,info@sterling.com,,
482,ACORN EDUCATION GLOBAL INC,acorn education global,acorneducationglob.com,Media,Australia,150,,,info@acorn.com,,
483,Verdant Landscaping Holdings Ltd,verdant landscaping,verdantlandscaping.com,Software,United Kingdom,5,,,info@verdant.com,,
484,Foxglove Energy Ltd,foxglove energy,,Construction,United Kingdom,,,,info@foxglove.com,,
485,Stray Holdings LLC,stray,strayholdings.com,Finance,United States,,,,,,
486,"foxglove,energy ltd",foxglove energy,foxgloveenergy.com,,United Kingdom,5,,,info@foxglove.com,,
